Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2015-10-23,203.48228454589844,218.4455108642578,222.42286682128906,215.1310577392578,220.34275817871094,12153422
2015-10-26,200.75685119628906,215.5196533203125,220.12559509277344,215.16534423828125,219.87416076660156,10938775
2015-10-27,200.05419921875,214.76531982421875,216.75399780273438,214.27386474609375,214.59388732910156,11601798
2015-10-28,199.5005645751953,214.17100524902344,215.98825073242188,212.5594940185547,214.15957641601562,11958727
2015-10-29,200.36293029785156,215.09677124023438,216.0111083984375,213.71383666992188,213.953857421875,13280382
2015-10-30,201.78955078125,216.62828063964844,218.50265502929688,214.89105224609375,215.34820556640625,13366359
2015-11-02,204.36593627929688,219.39413452148438,219.78273010253906,216.05682373046875,216.92543029785156,7222044
2015-11-03,205.94158935546875,221.0856475830078,221.82855224609375,219.7255859375,220.18275451660156,11373522
2015-11-04,202.55604553222656,217.451171875,222.8686065673828,216.285400390625,221.26852416992188,10033187
2015-11-05,199.42604064941406,214.09100341796875,217.38259887695312,213.2681121826172,216.92543029785156,10767454
2015-11-06,202.790283203125,217.70262145996094,218.2397918701172,214.38816833496094,214.74246215820312,8367190
2015-11-09,204.67465209960938,219.7255859375,220.582763671875,211.0851287841797,213.3824005126953,17031699
2015-11-10,196.47703552246094,210.9251251220703,219.3255615234375,209.4507598876953,218.7541046142578,11486238
2015-11-13,198.67019653320312,213.279541015625,214.5367431640625,209.03932189941406,209.1650390625,13682323
2015-11-16,198.9363250732422,213.5652618408203,215.32534790039062,211.38229370117188,211.66802978515625,15346549
2015-11-17,197.5416717529297,212.0680389404297,214.6167449951172,211.7137451171875,214.42245483398438,8588142
2015-11-18,194.1881103515625,208.46786499023438,212.8795166015625,207.999267578125,212.03375244140625,11249222
2015-11-19,199.0321502685547,213.66812133789062,214.57102966308594,209.6679229736328,210.0450897216797,12183206
2015-11-20,201.60853576660156,216.43397521972656,217.79405212402344,211.56515502929688,213.49668884277344,11304265
2015-11-23,203.07772827148438,218.01119995117188,218.95982360839844,216.285400390625,217.15402221679688,10499517
2015-11-24,206.04806518554688,221.19993591308594,222.09141540527344,217.39402770996094,217.8397674560547,14806176
